Symbol,Name,Sector,Price,Price/Earnings,Earnings/Share,52 Week High,52 Week Low
KIM,Kimco Realty,Real Estate,14.01,9.28,0.8,25.15,14.33
KMI,Kinder Morgan,Energy,16.8,25.07,0.01,22.75,16.56
KLAC,KLA-Tencor Corp.,Information Technology,98.54,16.59,5.88,121.65,86.33
KSS,Kohl's Corp.,Consumer Discretionary,60.34,16.01,3.12,69.14,35.16
KHC,Kraft Heinz Co,Consumer Staples,71.58,20.11,2.81,97.77,72.05
KR,Kroger Co.,Consumer Staples,27.57,13.07,2.05,34.75,19.69
LB,L Brands Inc.,Consumer Discretionary,47.77,12.77,3.98,63.1,35
LLL,L-3 Communications Holdings,Industrials,198.79,23.14,8.51,218.705,159.43
LH,Laboratory Corp. of America Holding,Health Care,165.46,17.79,7.02,181.715,130.292
LRCX,Lam Research,Information Technology,162.23,16.29,9.22,219.7,113.1982
LEG,Leggett & Platt,Consumer Discretionary,43.99,17.88,2.76,54.97,42
LEN,Lennar Corp.,Consumer Discretionary,59.11,15.35,3.38,72.17,43.647053
LUK,Leucadia National Corp.,Financials,23.86,15.39,0.33,28.3,22.23
LLY,Lilly (Eli) & Co.,Health Care,74.21,17.34,-0.2,89.09,75.71
LNC,Lincoln National,Financials,73.86,9.49,9.24,86.68,61.45
LKQ,LKQ Corporation,Consumer Discretionary,38.86,21.35,1.5,43.8599,27.85
LMT,Lockheed Martin Corp.,Industrials,334.3,24.28,6.83,361.79,256.4
L,Loews Corp.,Financials,46.05,15.99,1.93,53.59,45.01
LOW,Lowe's Cos.,Consumer Discretionary,95.01,23.87,3.46,108.98,70.76
LYB,LyondellBasell,Materials,105.79,10.35,12.25,121.95,78.01
MTB,M&T Bank Corp.,Financials,178.35,18.91,8.69,193.85,141.12
MAC,Macerich,Real Estate,58.36,14.81,3.43,69.73,52.12
M,Macy's Inc.,Consumer Discretionary,24,7.67,1.98,33.73,17.405
MRO,Marathon Oil Corp.,Energy,15.68,-32,-2.65,19.52,10.55
MPC,Marathon Petroleum,Energy,62.79,16.06,6.85,73.53,47.39
MAR,Marriott Int'l.,Consumer Discretionary,133.88,32.73,2.67,149.21,85.3725
MMC,Marsh & McLennan,Financials,79.31,20.23,2.87,86.54,69.33
MLM,Martin Marietta Materials,Materials,208.42,30.38,6.63,244.32,191.09
MAS,Masco Corp.,Industrials,40.7,22.12,1.47,46.445,31.29
MA,Mastercard Inc.,Information Technology,160.62,34.99,3.65,177.11,105.8
MAT,Mattel Inc.,Consumer Discretionary,16,-14.68,-3.06,26.3,12.71
MKC,McCormick & Co.,Consumer Staples,101.36,23.91,3.73,109.67,90.25
